f0,f1,f2,f3,f4,f5,f6,f7,label
-0.5512,0.3342,-1.0857,1.2830,-1.1915,-1.1977,0.3632,1.2090,1
-1.4325,0.5869,1.9442,1.8588,-0.5732,-0.4674,0.6888,1.0613,1
2.5984,1.7235,0.9502,-0.5787,1.3976,1.2712,-1.5879,0.0162,1
-0.9898,0.5812,-1.0880,0.1919,0.3998,0.5130,-1.3437,-0.9683,0
0.5281,-0.6064,0.2575,-1.0029,1.0904,-0.4780,0.3497,-0.7366,1
0.6880,-1.1231,-1.0735,-1.6901,-1.0866,0.3793,-0.8400,1.4740,1
-0.8468,0.2440,0.5814,1.4329,-0.6564,-0.3180,0.0477,-0.2949,1
-0.5071,-1.7548,-1.1140,0.9688,1.2092,-2.5388,-0.2746,0.0081,1
1.3911,-1.4869,-1.1369,0.4476,-1.5428,0.4280,-1.2313,0.7817,0
1.5549,0.7902,-0.1317,1.3911,-0.3272,0.2457,-0.7098,1.3191,1
1.3461,-0.3990,0.8795,-0.7518,-1.3405,-0.3533,0.1451,1.5118,1
1.6572,-0.0268,-0.4166,0.1835,-1.3543,-1.5120,-1.4436,0.5333,0
1.7095,0.5082,-0.2609,0.9335,0.7509,0.9753,-1.6235,-0.7138,0
0.6220,1.2222,-1.1216,1.0200,-1.3228,0.0194,0.1592,1.4165,1
-0.0046,0.1373,0.7242,-2.0261,-0.2576,-0.5268,-0.8598,0.3297,1
-0.6752,-0.8052,-0.0012,1.9320,0.3092,0.9358,-0.7318,0.0775,1
